result,mean_10_home_goal,mean_10_home_possesion_pct,mean_10_home_shot_on_goal,mean_10_home_shot,mean_10_home_corner,mean_10_away_goal,mean_10_away_possesion_pct,mean_10_away_shot_on_goal,mean_10_away_shot,mean_10_away_corner
3,1.7,0.525,5.0,14.1,6.1,0.5,0.45,2.5,9.0,0.5
0,1.8,0.404,4.7,14.4,4.6,0.9,0.5509999999999999,3.9,12.9,6.0
0,1.3,0.5330000000000001,4.3,17.1,7.6,1.0,0.43333333333333335,3.0,8.666666666666666,2.6666666666666665
3,1.6,0.46799999999999997,4.3,13.9,5.2,1.0,0.42000000000000004,2.9,9.5,5.1
0,1.3,0.554,6.9,20.2,8.1,0.9,0.55,4.1,12.1,5.4
3,2.2,0.521,6.1,17.7,7.4,0.7,0.454,3.5,10.6,4.4
0,1.0,0.3433333333333333,2.3333333333333335,6.333333333333333,3.0,1.6,0.586,6.9,18.9,7.9
3,2.4,0.546,6.0,16.4,7.4,1.9,0.567,5.6,13.7,5.2
0,1.0,0.45,3.6666666666666665,10.666666666666666,5.0,1.1,0.541,3.9,11.0,4.0
1,1.5,0.546,5.7,17.2,7.0,1.2,0.5029999999999999,4.6,13.6,5.4
0,1.0,0.5730000000000001,5.0,14.4,5.3,1.7,0.557,5.3,13.3,5.1
0,0.8,0.44699999999999995,3.8,14.8,6.0,2.4,0.515,6.2,15.9,6.7
3,1.4,0.583,5.6,15.8,6.6,0.3333333333333333,0.43,1.6666666666666667,8.666666666666666,1.0
3,1.8,0.557,6.6,18.6,8.5,0.9,0.442,3.9,11.2,2.8
0,1.6,0.541,5.1,14.4,6.2,0.9,0.45999999999999996,4.6,10.9,4.6
